Gene name	Human gene name
Gna11	GNA11
B020004J07Rik	PRAMEF27
B020004J07Rik	PRAMEF2
B020004J07Rik	PRAMEF4
B020004J07Rik	PRAMEF15
B020004J07Rik	PRAMEF6
B020004J07Rik	PRAMEF7
B020004J07Rik	PRAMEF17
B020004J07Rik	PRAMEF25
B020004J07Rik	PRAMEF18
B020004J07Rik	PRAMEF1
B020004J07Rik	PRAMEF19
B020004J07Rik	PRAMEF11
B020004J07Rik	PRAMEF33
B020004J07Rik	PRAMEF12
B020004J07Rik	PRAMEF20
B020004J07Rik	PRAME
B020004J07Rik	PRAMEF13
B020004J07Rik	PRAMEF10
B020004J07Rik	PRAMEF14
B020004J07Rik	PRAMEF8
B020004J07Rik	PRAMEF5
B020004J07Rik	PRAMEF9
B020004J07Rik	PRAMEF26
C8g	C8G
Ppp1r2	PPP1R2
Ppp1r2	PPP1R2P3
Dagla	DAGLA
Trpm8	TRPM8
Arhgef38	ARHGEF38
Nes	NES
Mfsd6	MFSD6
Tmem123	TMEM123
Gcnt2	GCNT2
Zpr1	ZPR1
Nlgn3	NLGN3
N4bp3	N4BP3
C130073F10Rik	PRAMEF27
C130073F10Rik	PRAMEF2
C130073F10Rik	PRAMEF4
C130073F10Rik	PRAMEF15
C130073F10Rik	PRAMEF6
C130073F10Rik	PRAMEF7
C130073F10Rik	PRAMEF17
C130073F10Rik	PRAMEF25
C130073F10Rik	PRAMEF18
C130073F10Rik	PRAMEF1
C130073F10Rik	PRAMEF19
C130073F10Rik	PRAMEF11
C130073F10Rik	PRAMEF33
C130073F10Rik	PRAMEF12
C130073F10Rik	PRAMEF20
C130073F10Rik	PRAME
C130073F10Rik	PRAMEF13
C130073F10Rik	PRAMEF10
C130073F10Rik	PRAMEF14
C130073F10Rik	PRAMEF8
C130073F10Rik	PRAMEF5
C130073F10Rik	PRAMEF9
C130073F10Rik	PRAMEF26
Plxna1	PLXNA1
Tbc1d17	TBC1D17
Desi2	DESI2
Slc38a7	SLC38A7
Olfr747	OR11H4
Bcan	BCAN
Naip5	NAIP
Ush1c	USH1C
Ppp1r16b	PPP1R16B
Txndc5	TXNDC5
Ppp2r2b	PPP2R2B
Fgfr1op	FGFR1OP
Omp	OMP
Capn5	CAPN5
Tacstd2	TACSTD2
Cdc14a	CDC14A
Ntpcr	NTPCR
Ppp1r17	PPP1R17
Olfr677	OR52E4
Igkv2-137	IGKV2D-29
Igkv2-137	IGKV2-28
Igkv2-137	IGKV2-40
Igkv2-137	IGKV2D-40
Igkv2-137	IGKV2D-28
Pan3	PAN3
Col4a3	COL4A3
Fbxw5	FBXW5
Ccdc80	CCDC80
Olfr102	OR12D1
Olfr102	OR12D2
Ighv1-54	IGHV1-24
Ighv1-54	IGHV1-69-2
1700016K19Rik	C17orf97
Pofut2	POFUT2
Tspan12	TSPAN12
Ak1	AK1
Adam22	ADAM22
Ttc9b	TTC9B
Slc44a5	SLC44A5
Figla	FIGLA
Spock1	SPOCK1
Psme1	PSME1
Map3k10	MAP3K10
Ube2z	UBE2Z
Esrp2	ESRP2
Olfr678	OR52E5
Cpne2	CPNE2
Thrb	THRB
F11r	F11R
Gli3	GLI3
Cdc6	CDC6
Slc24a2	SLC24A2
Galm	GALM
Nup62	NUP62
Lnx1	LNX1
Zfp790	ZNF790
Foxr1	FOXR1
Rfc5	RFC5
Lrrfip2	LRRFIP2
Nicn1	AC104452.1
Nicn1	NICN1
Ctdp1	CTDP1
Smim26	SMIM26
Mff	MFF
Atf5	ATF5
Clu	CLU
Hs6st1	HS6ST1
Zfp408	ZNF408
Rab11fip2	RAB11FIP2
Traf3	TRAF3
Zyg11b	ZYG11B
Rexo1	REXO1
1110059G10Rik	KIAA1143
Nfatc3	NFATC3
Kcnip2	KCNIP2
Acrv1	ACRV1
Prkag3	PRKAG3
Il4i1	IL4I1
Gal3st2	GAL3ST2
B4galt2	B4GALT2
Wsb2	WSB2
Fbxw27	FBXW12
Pde8a	PDE8A
Megf9	MEGF9
Armt1	ARMT1
Cyp2c37	CYP2C8
Cyp2c37	CYP2C9
Cyp2c37	CYP2C19
Lrrc8e	LRRC8E
Puf60	PUF60
Olfr748	OR11H7
1700020N01Rik	AC004076.1
1700020N01Rik	AC003005.1
Rpl10a	RPL10A
Pax8	PAX8
Olfr749	OR11H4
Ntmt1	NTMT1
Glud1	GLUD2
Glud1	GLUD1
Chrnb1	CHRNB1
Olfr679	OR56A3
1810022K09Rik	C8orf59
Dnajc15	DNAJC15
Ttc7	TTC7A
Lrfn5	LRFN5
Fam186a	FAM186A
Gm3139	PRAMEF27
Gm3139	PRAMEF2
Gm3139	PRAMEF4
Gm3139	PRAMEF15
Gm3139	PRAMEF6
Gm3139	PRAMEF7
Gm3139	PRAMEF17
Gm3139	PRAMEF25
Gm3139	PRAMEF18
Gm3139	PRAMEF1
Gm3139	PRAMEF19
Gm3139	PRAMEF11
Gm3139	PRAMEF33
Gm3139	PRAMEF12
Gm3139	PRAMEF20
Gm3139	PRAME
Gm3139	PRAMEF13
Gm3139	PRAMEF10
Gm3139	PRAMEF14
Gm3139	PRAMEF8
Gm3139	PRAMEF5
Gm3139	PRAMEF9
Gm3139	PRAMEF26
Spag5	SPAG5
Mageb3	MAGEB6P1
Mageb3	MAGEB6
Ctdspl2	CTDSPL2
Socs2	SOCS2
Gm3147	PRAMEF27
Gm3147	PRAMEF2
Gm3147	PRAMEF4
Gm3147	PRAMEF15
Gm3147	PRAMEF6
Gm3147	PRAMEF7
Gm3147	PRAMEF17
Gm3147	PRAMEF25
Gm3147	PRAMEF18
Gm3147	PRAMEF1
Gm3147	PRAMEF19
Gm3147	PRAMEF11
Gm3147	PRAMEF33
Gm3147	PRAMEF12
Gm3147	PRAMEF20
Gm3147	PRAME
Gm3147	PRAMEF13
Gm3147	PRAMEF10
Gm3147	PRAMEF14
Gm3147	PRAMEF8
Gm3147	PRAMEF5
Gm3147	PRAMEF9
Gm3147	PRAMEF26
Rtl9	RTL9
Ankfy1	ANKFY1
Serpina10	SERPINA10
Ighv1-55	IGHV1-24
Ighv1-55	IGHV1-69-2
Hivep2	HIVEP2
Eif3h	EIF3H
Gpr143	GPR143
Poc5	POC5
Olfr1136	OR5W2
E2f5	E2F5
Chrdl1	CHRDL1
Ablim2	ABLIM2
Phex	PHEX
Cyp2c50	CYP2C8
Cyp2c50	CYP2C9
Cyp2c50	CYP2C19
Olfr1137	OR5W2
Xcl1	XCL2
Xcl1	XCL1
Bmp6	BMP6
Gpat3	GPAT3
Olfr103	OR12D1
Olfr103	OR12D2
Papolg	PAPOLG
Apod	APOD
F13b	F13B
Ighv1-56	IGHV1-24
Ighv1-56	IGHV1-69-2
Dpt	DPT
Slco2a1	SLCO2A1
Xkr7	XKR7
Zfp940	ZNF790
Zfp454	ZNF454
Atp5k	ATP5I
Slc6a9	SLC6A9
Amt	AMT
Pparg	PPARG
Gpkow	GPKOW
Olfr104-ps	OR12D1
Olfr104-ps	OR12D2
Gm12800	PRAMEF27
Gm12800	PRAMEF2
Gm12800	PRAMEF4
Gm12800	PRAMEF15
Gm12800	PRAMEF6
Gm12800	PRAMEF7
Gm12800	PRAMEF17
Gm12800	PRAMEF25
Gm12800	PRAMEF18
Gm12800	PRAMEF1
Gm12800	PRAMEF19
Gm12800	PRAMEF11
Gm12800	PRAMEF33
Gm12800	PRAMEF12
Gm12800	PRAMEF20
Gm12800	PRAME
Gm12800	PRAMEF13
Gm12800	PRAMEF10
Gm12800	PRAMEF14
Gm12800	PRAMEF8
Gm12800	PRAMEF5
Gm12800	PRAMEF9
Gm12800	PRAMEF26
Tfpi2	TFPI2
Emc9	EMC9
Rflnb	RFLNB
Alox12b	ALOX12B
Ankdd1b	ANKDD1B
Ccm2l	CCM2L
Nelfa	NELFA
AC130711.1	AL032819.3
Cldn34b3	CLDN34
Elf4	ELF4
Xbp1	XBP1
Gm12794	PRAMEF27
Gm12794	PRAMEF2
Gm12794	PRAMEF4
Gm12794	PRAMEF15
Gm12794	PRAMEF6
Gm12794	PRAMEF7
Gm12794	PRAMEF17
Gm12794	PRAMEF25
Gm12794	PRAMEF18
Gm12794	PRAMEF1
Gm12794	PRAMEF19
Gm12794	PRAMEF11
Gm12794	PRAMEF33
Gm12794	PRAMEF12
Gm12794	PRAMEF20
Gm12794	PRAME
Gm12794	PRAMEF13
Gm12794	PRAMEF10
Gm12794	PRAMEF14
Gm12794	PRAMEF8
Gm12794	PRAMEF5
Gm12794	PRAMEF9
Gm12794	PRAMEF26
Ptpn4	PTPN4
Dtx3l	DTX3L
Epsti1	EPSTI1
Spata17	SPATA17
Gm12790	PRAMEF27
Gm12790	PRAMEF2
Gm12790	PRAMEF4
Gm12790	PRAMEF15
Gm12790	PRAMEF6
Gm12790	PRAMEF7
Gm12790	PRAMEF17
Gm12790	PRAMEF25
Gm12790	PRAMEF18
Gm12790	PRAMEF1
Gm12790	PRAMEF19
Gm12790	PRAMEF11
Gm12790	PRAMEF33
Gm12790	PRAMEF12
Gm12790	PRAMEF20
Gm12790	PRAME
Gm12790	PRAMEF13
Gm12790	PRAMEF10
Gm12790	PRAMEF14
Gm12790	PRAMEF8
Gm12790	PRAMEF5
Gm12790	PRAMEF9
Gm12790	PRAMEF26
Khk	KHK
Gsap	GSAP
Cilp2	CILP2
Aes	AES
Bag6	BAG6
Ttc8	TTC8
Actl9	ACTL9
Birc2	BIRC2
Mtr	MTR
Unkl	UNKL
Parp9	PARP9
Bmp5	BMP5
Gm6509	PRAMEF27
Gm6509	PRAMEF2
Gm6509	PRAMEF4
Gm6509	PRAMEF15
Gm6509	PRAMEF6
Gm6509	PRAMEF7
Gm6509	PRAMEF17
Gm6509	PRAMEF25
Gm6509	PRAMEF18
Gm6509	PRAMEF1
Gm6509	PRAMEF19
Gm6509	PRAMEF11
Gm6509	PRAMEF33
Gm6509	PRAMEF12
Gm6509	PRAMEF20
Gm6509	PRAME
Gm6509	PRAMEF13
Gm6509	PRAMEF10
Gm6509	PRAMEF14
Gm6509	PRAMEF8
Gm6509	PRAMEF5
Gm6509	PRAMEF9
Gm6509	PRAMEF26
Zbtb5	ZBTB5
Clasp2	CLASP2
Mlf1	MLF1
Naip6	NAIP
Xrcc3	XRCC3
Olfr105-ps	OR12D1
Olfr105-ps	OR12D2
Gmnn	GMNN
Prr22	PRR22
Hmgcll1	HMGCLL1
Nrp2	NRP2
1700011L22Rik	C4orf51
Ostm1	OSTM1
Rpl36a	RPL36A
Ddx41	DDX41
Micu2	MICU2
Gemin6	GEMIN6
Zfp3	ZFP3
Dtd1	DTD1
Olfr106-ps	OR12D1
Olfr106-ps	OR12D2
Map2k7	MAP2K7
Klc1	KLC1
Cbarp	CBARP
Tgfbr3l	TGFBR3L
Srsf4	SRSF4
Rcn2	RCN2
Morn2	MORN2
Cox17	COX17
Fip1l1	FIP1L1
Cyp1a2	CYP1A2
Map2k7	MAP2K7
Clvs2	CLVS2
Chek1	CHEK1
Tmem192	TMEM192
Flt1	FLT1
Slc35a5	SLC35A5
Acsbg2	ACSBG2
Csnk1g1	CSNK1G1
Chil4	CHIA
Olfr1138	OR5W2
Popdc2	POPDC2
Olfr1140	OR5W2
Alkbh5	ALKBH5
Pds5a	PDS5A
Gm20503	DNAJC25-GNG10
Gng10	GNG10
Uggt1	UGGT1
Kpna1	KPNA1
Atp9b	ATP9B
Chml	CHML
Nfe2l3	NFE2L3
Serpina6	SERPINA6
Gm21987	COX17
Chil3	CHIA
Dnajc25	DNAJC25
Kng2	KNG1
Ighv8-8	IGHV2-70
Ighv8-8	IGHV2OR16-5
Ighv8-8	IGHV2-5
Ighv8-8	IGHV2-70D
Ighv8-8	IGHV2-26
Opn3	OPN3
Lad1	LAD1
Usp51	USP51
Gmppa	GMPPA
Rbm26	RBM26
Pla2g12b	PLA2G12B
Fpgs	FPGS
Eaf2	EAF2
Mlc1	MLC1
Pcgf3	PCGF3
Gpihbp1	GPIHBP1
Mageh1	MAGEH1
Scimp	SCIMP
Srsf6	SRSF6
Arhgap44	ARHGAP44
Zfp936	ZNF124
Ttc5	TTC5
Rcor3	RCOR3
Cachd1	CACHD1
Racgap1	RACGAP1
Cib1	CIB1
Arhgap1	ARHGAP1
Hmmr	HMMR
Atp5d	ATP5D
Dclk2	DCLK2
Gm21981	AL365205.1
Gm21981	PRICKLE4
Usp49	USP49
Mrpl42	MRPL42
Add2	ADD2
0610009B22Rik	TRAPPC2B
0610009B22Rik	TRAPPC2
Morc3	MORC3
Lmo2	LMO2
Stk11	STK11
Hck	HCK
Eng	ENG
Med20	MED20
Iqcb1	IQCB1
Cog3	COG3
Ccdc103	CCDC103
Ccdc103	FAM187A
Arhgef33	ARHGEF33
Frs3	FRS3
Ccdc146	CCDC146
Coa7	COA7
Dusp26	DUSP26
Ccdc24	CCDC24
Ksr2	KSR2
Cyfip1	CYFIP1
Pomp	POMP
Egr1	EGR1
Fam159a	FAM159A
Tomm6	TOMM6
Eif4e3	EIF4E3
Fgl2	FGL2
Cep350	CEP350
Grb14	GRB14
Nipal2	NIPAL2
Cyp1a1	CYP1A1
Utp23	UTP23
Fbxo3	FBXO3
Gpx7	GPX7
L3mbtl1	L3MBTL1
Fbxo25	FBXO25
Got2	GOT2
Upk2	UPK2
Dnajb14	DNAJB14
Gla	GLA
Dzip1l	DZIP1L
Slc46a3	SLC46A3
Prickle4	AL365205.1
Prickle4	PRICKLE4
Elac2	ELAC2
Aifm1	AIFM1
Tmem211	TMEM211
BC055324	C1orf112
Notch4	NOTCH4
Fgf3	FGF3
Selenbp2	SELENBP1
Cd44	CD44
Golph3l	GOLPH3L
Slc6a2	SLC6A2
Syt7	SYT7
Sspo	SSPO
Sltm	SLTM
Washc3	WASHC3
Etf1	ETF1
Acy1	ABHD14A-ACY1
Acy1	ACY1
Mtus2	MTUS2
Slc39a9	SLC39A9
Igkv1-135	IGKV2D-24
Igkv1-135	IGKV2-24
Igkv1-135	IGKV2-30
Igkv1-135	IGKV2D-30
Lztr1	LZTR1
Tsen2	TSEN2
Spata9	SPATA9
Gngt1	GNGT1
Mmaa	MMAA
Sbf2	SBF2
Prss21	PRSS21
Tmem5	TMEM5
Lrch2	LRCH2
Gm42641	TREX1
Tbc1d10b	TBC1D10B
Gng11	GNG11
Traf5	TRAF5
Yrdc	YRDC
Ssbp4	SSBP4
Lat	LAT
Ccdc117	CCDC117
Atrip	ATRIP
Odc1	ODC1
B3gnt6	B3GNT6
Tuba3a	TUBA3C
Fgf11	FGF11
Mtf1	MTF1
Gfap	GFAP
B3galt5	B3GALT5
Wnt6	WNT6
Tank	TANK
Tceal3	TCEAL5
Tceal3	TCEAL3
Tceal3	TCEAL6
Pou3f3	POU3F3
Scyl3	SCYL3
Trex1	TREX1
1700125H20Rik	C17orf64
Gapvd1	GAPVD1
Eif2b1	EIF2B1
Fgf4	FGF4
Maneal	MANEAL
Olfr681	OR56A3
Cxcr5	CXCR5
Chtop	CHTOP
1110065P20Rik	C1orf122
Tead3	TEAD3
Fgf15	FGF19
Inpp1	INPP1
Ogdhl	OGDHL
Hnrnpa2b1	HNRNPA2B1
Rfesd	RFESD
Fam25c	FAM25G
Fam25c	FAM25C
Fam25c	FAM25A
Bcl9l	BCL9L
Brwd3	BRWD3
Mier3	MIER3
Olfr683	OR56A5
Ergic3	ERGIC3
Sike1	SIKE1
Nudt4	NUDT4
Nudt4	NUDT4P1
Gm6205	PRAMEF27
Gm6205	PRAMEF2
Gm6205	PRAMEF4
Gm6205	PRAMEF15
Gm6205	PRAMEF6
Gm6205	PRAMEF7
Gm6205	PRAMEF17
Gm6205	PRAMEF25
Gm6205	PRAMEF18
Gm6205	PRAMEF1
Gm6205	PRAMEF19
Gm6205	PRAMEF11
Gm6205	PRAMEF33
Gm6205	PRAMEF12
Gm6205	PRAMEF20
Gm6205	PRAME
Gm6205	PRAMEF13
Gm6205	PRAMEF10
Gm6205	PRAMEF14
Gm6205	PRAMEF8
Gm6205	PRAMEF5
Gm6205	PRAMEF9
Gm6205	PRAMEF26
Mpped2	MPPED2
Rasgrp2	RASGRP2
Tnnt2	TNNT2
Mkrn2os	MKRN2OS
Zkscan3	ZKSCAN4
Zkscan3	ZKSCAN3
Alkbh7	ALKBH7
Fam227b	FAM227B
Nae1	NAE1
Dpysl3	DPYSL3
Scp2d1	SCP2D1
Lhx8	LHX8
Vcpip1	VCPIP1
Ltbr	LTBR
Plcb4	PLCB4
Lxn	LXN
Kif18b	KIF18B
Ano5	ANO5
Fam45a	FAM45A
Bcl2l12	BCL2L12
Slc7a1	SLC7A1
Igkv1-133	IGKV2D-24
Igkv1-133	IGKV2-24
Igkv1-133	IGKV2-30
Igkv1-133	IGKV2D-30
Slc24a3	SLC24A3
Gfm1	GFM1
Hnrnph2	HNRNPH2
Aplnr	APLNR
Fgf7	FGF7
Slc25a30	SLC25A30
Birc3	BIRC3
Atg3	ATG3
Anapc1	ANAPC1
Rnf122	RNF122
Cfhr1	CFHR1
Cfhr1	CFHR5
Cfhr1	BX248415.1
Cfhr1	CFHR2
Avpr1a	AVPR1A
Irf3	IRF3
Tyrp1	TYRP1
Cd180	CD180
Casp8	CASP8
Rilp	RILP
Pstpip1	PSTPIP1
Galk2	GALK2
Pspn	PSPN
Mkrn2	MKRN2
Cdh4	CDH4
Pcnx2	PCNX2
Pdlim3	PDLIM3
Olfr684	OR56A4
Mov10l1	MOV10L1
Alox8	ALOX15B
Pus7	PUS7
Amn	AMN
Cldn34b4	CLDN34
Rad21	RAD21
Mast4	MAST4
Tle2	TLE2
Calcoco2	CALCOCO2
Cldn34d	CLDN34
Raf1	RAF1
Rictor	RICTOR
Sec63	SEC63
Ezh1	EZH1
Ubl3	UBL3
Gpr176	GPR176
Mei1	MEI1
Zfp27	ZNF585A
Zfp27	ZNF585B
Tnxb	TNXB
Scaf11	SCAF11
Smad1	SMAD1
Traf3ip2	TRAF3IP2
Fsip1	FSIP1
Arrb2	ARRB2
Naip1	NAIP
Scnn1a	SCNN1A
Gal3st2b	GAL3ST2
Adamts10	ADAMTS10
Mrps9	MRPS9
Zfp383	ZNF383
Arc	ARC
Zfp74	ZNF568
Zfp2	ZFP2
Cyth2	CYTH2
Oit3	OIT3
Wnt10a	WNT10A
Sncg	SNCG
Mllt3	MLLT3
Katnal1	KATNAL1
Adsl	ADSL
Serpina1d	SERPINA1
Olfr109	OR12D3
Ano7	ANO7
Sec11c	SEC11C
Adgrg6	ADGRG6
Klf16	KLF16
Serpina1b	SERPINA1
Gm3183	PRAMEF27
Gm3183	PRAMEF2
Gm3183	PRAMEF4
Gm3183	PRAMEF15
Gm3183	PRAMEF6
Gm3183	PRAMEF7
Gm3183	PRAMEF17
Gm3183	PRAMEF25
Gm3183	PRAMEF18
Gm3183	PRAMEF1
Gm3183	PRAMEF19
Gm3183	PRAMEF11
Gm3183	PRAMEF33
Gm3183	PRAMEF12
Gm3183	PRAMEF20
Gm3183	PRAME
Gm3183	PRAMEF13
Gm3183	PRAMEF10
Gm3183	PRAMEF14
Gm3183	PRAMEF8
Gm3183	PRAMEF5
Gm3183	PRAMEF9
Gm3183	PRAMEF26
Gpatch2	GPATCH2
Pth2r	PTH2R
Hspa9	HSPA9
Cops2	COPS2
Fyn	FYN
Ankrd36	CCDC144A
Ankrd36	AC098850.4
Foxr2	FOXR2
Ttll6	TTLL6
Dguok	DGUOK
Sh3yl1	SH3YL1
Cma1	CMA1
Ighv1-61	IGHV1-24
Ighv1-61	IGHV1-69-2
Wdr64	WDR64
Nek1	NEK1
Appbp2	APPBP2
Rspry1	RSPRY1
Dpy19l4	DPY19L4
Gm4788	CFHR3
Gm4788	CFH
Olfr1141	OR5W2
Mak16	MAK16
Olfr152	OR5I1
Asb6	ASB6
1700024G13Rik	C10orf53
Olfr685	OR52L1
Ccdc170	CCDC170
Alas2	ALAS2
Ppm1h	PPM1H
Slc25a41	SLC25A41
Lrfn1	LRFN1
Strip2	STRIP2
BC005537	C6orf62
Tti2	TTI2
Abcf3	ABCF3
Mylpf	MYLPF
Anapc15-ps	ANAPC15
H2-M2	HLA-G
H2-M2	HLA-B
H2-M2	HLA-A
H2-M2	HLA-F
H2-M2	HLA-C
H2-M2	HLA-E
Sycn	SYCN
Nkx6-1	NKX6-1
Nudcd2	NUDCD2
Gmfg	GMFG
Tgm5	TGM5
Kif15	KIF15
Dhtkd1	DHTKD1
Rara	RARA
Dnmt1	DNMT1
Sgsm1	SGSM1
Nos1	NOS1
Abhd17a	ABHD17A
Ces1a	CES1
Tbl1x	TBL1Y
Tbl1x	TBL1X
Cdk5r2	CDK5R2
Alg5	ALG5
Uspl1	USPL1
Scarf1	SCARF1
Fsd1l	FSD1L
Igkv1-132	IGKV2D-24
Igkv1-132	IGKV2-24
Igkv1-132	IGKV2-30
Igkv1-132	IGKV2D-30
Gm6367	PRAMEF27
Gm6367	PRAMEF2
Gm6367	PRAMEF4
Gm6367	PRAMEF15
Gm6367	PRAMEF6
Gm6367	PRAMEF7
Gm6367	PRAMEF17
Gm6367	PRAMEF25
Gm6367	PRAMEF18
Gm6367	PRAMEF1
Gm6367	PRAMEF19
Gm6367	PRAMEF11
Gm6367	PRAMEF33
Gm6367	PRAMEF12
Gm6367	PRAMEF20
Gm6367	PRAME
Gm6367	PRAMEF13
Gm6367	PRAMEF10
Gm6367	PRAMEF14
Gm6367	PRAMEF8
Gm6367	PRAMEF5
Gm6367	PRAMEF9
Gm6367	PRAMEF26
Ptgs1	PTGS1
Igkv1-131	IGKV2D-24
Igkv1-131	IGKV2-24
Igkv1-131	IGKV2-30
Igkv1-131	IGKV2D-30
Gm16513	PRAMEF27
Gm16513	PRAMEF2
Gm16513	PRAMEF4
Gm16513	PRAMEF15
Gm16513	PRAMEF6
Gm16513	PRAMEF7
Gm16513	PRAMEF17
Gm16513	PRAMEF25
Gm16513	PRAMEF18
Gm16513	PRAMEF1
Gm16513	PRAMEF19
Gm16513	PRAMEF11
Gm16513	PRAMEF33
Gm16513	PRAMEF12
Gm16513	PRAMEF20
Gm16513	PRAME
Gm16513	PRAMEF13
Gm16513	PRAMEF10
Gm16513	PRAMEF14
Gm16513	PRAMEF8
Gm16513	PRAMEF5
Gm16513	PRAMEF9
Gm16513	PRAMEF26
Gpr150	GPR150
Apex2	APEX2
Cdc42bpb	CDC42BPB
Zscan20	ZSCAN20
Chaf1b	CHAF1B
Gm10424	PRAMEF27
Gm10424	PRAMEF2
Gm10424	PRAMEF4
Gm10424	PRAMEF15
Gm10424	PRAMEF6
Gm10424	PRAMEF7
Gm10424	PRAMEF17
Gm10424	PRAMEF25
Gm10424	PRAMEF18
Gm10424	PRAMEF1
Gm10424	PRAMEF19
Gm10424	PRAMEF11
Gm10424	PRAMEF33
Gm10424	PRAMEF12
Gm10424	PRAMEF20
Gm10424	PRAME
Gm10424	PRAMEF13
Gm10424	PRAMEF10
Gm10424	PRAMEF14
Gm10424	PRAMEF8
Gm10424	PRAMEF5
Gm10424	PRAMEF9
Gm10424	PRAMEF26
Car13	CA13
Cdkn3	CDKN3
Olfr110	OR5V1
Bcl11a	BCL11A
Adarb1	ADARB1
Aard	AARD
Gng5	GNG5
